created_at,content_clean,vader_compound,vader_pos,vader_neg,sentiment,theme,replies_count,reblogs_count,favourites_count
2022-05-11 00:51:29.273,"“TRUMPISM,” as some call AMERICA FIRST, is very simple: Low Taxes and Regulations, the most powerful Military, Tariffs & Taxes on other countries who have taken advantage of the United States and which will make the USA rich and debt free again (if countries want to “take” from the U.S., they must pay for the privilege!), protection of our under siege 2nd Amendment, GREAT Healthcare, Low Energy Prices through Energy Independence, PARENTAL POWER on School Boards, “LIFE,"" STRONG Borders, & more!",0.9746,0.302,0.079,positive,tariff,3985,29577,81805
2022-05-31 22:49:19.092,"“Mitt Romney, Elizabeth Warren, other senators send bipartisan letter to Biden urging him to keep Trump’s China tariffs, saying they’re ‘not a driver of today’s inflation’” https://www.marketwatch.com/story/mitt-romney-elizabeth-warren-other-senators-send-bipartisan-letter-to-biden-urging-him-to-keep-trumps-china-tariffs-saying-theyre-not-a-driver-of-todays-inflation-11653591272",0.0,0.0,0.0,neutral,tariff,609,6855,17496
2022-06-05 00:51:30.556,"Wow! Peter Navarro, our brilliant Harvard educated White House Trade Official who was by far the toughest advocate for Tariffs, Taxes & powerful Regulations on China, was just handcuffed, shackled, and put into prison because he didn’t obey the orders of the Unselect Committee of political THUGS, many of whom were involved with Impeachment Hoax #1, Impeachment Hoax #2, the Mueller Report Scam and, of course, the now fully debunked RUSSIA, RUSSIA, RUSSIA Con. They’ve gone CRAZY!!!",-0.6598,0.109,0.176,negative,tariff,2905,17647,37851
2022-07-08 23:05:29.210,https://www.breitbart.com/politics/2022/07/07/trumps-china-tariffs-help-spur-manufacturing-boom-across-u-s/,0.0,0.0,0.0,neutral,tariff,221,3423,14714
2022-09-08 12:53:12.246,"President Jair Bolsonaro of Brazil,“Tropical Trump” as he is affectionately called, has done a GREAT job for the wonderful people of Brazil. When I was President of the U.S., there was no other country leader who called me more than Jair seeking Tariff & Tax cuts, Trade Renegotiations, Strengthened Drug & Border Policies (to put the “bad guys” in jail!), Military Help, & more. President Bolsonaro loves Brazil beyond all else. He is a wonderful man, and has my Complete & Total Endorsement!!!",0.9782,0.27,0.041,positive,tariff,768,8328,35866
2022-09-13 21:19:09.582,"Another, “I told you sooo.” The Stock Market is now, on top of everything else, CRASHING!!! One of the worst seven days in history, one of the worst years in history - and it will only get worse. Wasteful Green New Deal, and other, SPENDING! Interest rates will have to go way up in order to combat record INFLATION. The Fed no longer has a choice. This was all self inflicted, no rhyme or reason. See what difference a Rigged Election can make? Like much else (Ukraine), should never have happened!!",-0.9379,0.066,0.198,negative,macro,2684,16018,50806
2022-09-17 11:49:09.285,"RT @realDonaldTrumpAnother, “I told you sooo.” The Stock Market is now, on top of everything else, CRASHING!!! One of the worst seven days in history, one of the worst years in history - and it will only get worse. Wasteful Green New Deal, and other, SPENDING! Interest rates will have to go way up in order to combat record INFLATION. The Fed no longer has a choice. This was all self inflicted, no rhyme or reason. See what difference a Rigged Election can make? Like much else (Ukraine), should never have happened!!",-0.9379,0.066,0.196,negative,macro,0,0,0
2022-10-17 02:35:25.300,"60 Minutes just did yet another “puff piece” on Wind Turbines, one of the absolute worst and most expensive forms of energy. They wreck the landscape, destroy the oceans, kill home values, consumers, and the birds, and are expensive as hell to build and operate. Also, they are mostly made in China, of course, and end up being abandoned, rusting hulks. Whoever does the Public Relations work for this garbage has done an incredible job!",-0.9652,0.051,0.243,negative,china_trade,1172,6895,25686
2022-10-17 14:59:31.303,"There’s this RINO character in the Great State of Colorado, Joe O’Dea, that is running against the incumbent Democrat for the United States Senate, who is having a good old time saying that he wants to “distance” himself from President Trump, and other slightly nasty things. He should look at the Economy, Inflation, Energy Independence, defeating ISIS, the Strongest EVER Border, Great Trade Deals, & much more, before he speaks. MAGA doesn’t Vote for stupid people with big mouths. Good luck Joe!",0.9412,0.238,0.088,positive,tariff,1173,5746,21924
2022-12-03 22:48:39.598,https://justthenews.com/government/courts-law/judge-sanctions-lake-lawyers-71-voters-believe-maricopa-county-issues,0.0,0.0,0.0,neutral,macro,533,4695,17325
2023-01-25 21:18:10.258,"One of the dumbest Energy investments ever made. They're unreliable, expensive, and destroy our environment, including the killing of millions of birds a year, and almost all made in China! https://www.americanthinker.com/blog/2023/01/huge_wind_turbines__taller_than_the_statue_of_liberty__are_toppling_over_in_a_rash_of_incidents.html",-0.8858,0.052,0.283,negative,china_trade,853,5749,18552
2023-02-18 05:12:51.070,"I was the one that brought China to everyone’s attention. Under “Trump,” China was paying us a fortune in taxes and tariffs for the “privilege” of selling their products to the U.S. No other President got 10 cents from a very smart and savvy China. I got Hundreds of $BILLIONS of Dollars, gave $28 Billion Dollars to our great FARMERS. But now China is really going at the good ol’ USA, and we have no one to defend us. Our Country does not have long to live, or even survive. We better WIN in 2024!",0.9472,0.169,0.04,positive,tariff,1154,6402,24662
2023-03-01 16:43:37.813,https://theconservativetreehouse.com/blog/2023/02/27/the-golden-arrow-president-trump-announces-economic-agenda-47-which-includes-universal-baseline-tariffs/,0.0,0.0,0.0,neutral,tariff,348,3812,13538
2023-03-10 05:14:24.552,"Why on earth (farmer’s love earth!) would the wonderful people of the GREAT State of Iowa vote for Ron DeSanctimonious when he voted and fought to KILL Ethanol (and will definitely do so if given the chance), voted 4 times, as a disciple of Paul Ryan, to decimate Social Security and MediCare, and bring the minimum age on Social Security to at least 70 years old (he wanted higher!). He will be in Iowa on Friday to beg for mercy. I supported Ethanol, FIRED NAFTA, & made USMCA & China Trade Deals!",0.9306,0.233,0.101,positive,china_trade,643,5415,18675
2023-03-10 05:26:05.369,"Remember FARMERS, I got China to pay you 28 Billion Dollars as an adjustment for how unfairly they treated you. This was part of the great Trade Deal I made for you with China (Biden is not properly enforcing it!). No other President could have done this. No other President was as PRO FARMER as me. Tell that to Ron DeSanctimonious when he shows up to your door, hat in hand. Tell him to go home!",0.5837,0.093,0.072,positive,tariff,766,6135,22692
2023-03-10 17:57:13.362,"RT @realDonaldTrumpWhy on earth (farmer’s love earth!) would the wonderful people of the GREAT State of Iowa vote for Ron DeSanctimonious when he voted and fought to KILL Ethanol (and will definitely do so if given the chance), voted 4 times, as a disciple of Paul Ryan, to decimate Social Security and MediCare, and bring the minimum age on Social Security to at least 70 years old (he wanted higher!). He will be in Iowa on Friday to beg for mercy. I supported Ethanol, FIRED NAFTA, & made USMCA & China Trade Deals!",0.9306,0.231,0.1,positive,china_trade,0,0,0
2023-03-10 17:57:18.912,"RT @realDonaldTrumpRemember FARMERS, I got China to pay you 28 Billion Dollars as an adjustment for how unfairly they treated you. This was part of the great Trade Deal I made for you with China (Biden is not properly enforcing it!). No other President could have done this. No other President was as PRO FARMER as me. Tell that to Ron DeSanctimonious when he shows up to your door, hat in hand. Tell him to go home!",0.5837,0.092,0.071,positive,tariff,0,0,0
2023-04-27 17:47:32.170,"NEW POLL JUST OUT BY EMERSON: DONALD J. TRUMP - 62%, RON DESANCTUS - 16%, MIKE PENCE, 7%. Obviously, people are “dreaming” of Energy  Independence, a Strong Military and Borders, Low Taxes and Interest Rates, Respect throughout the World, and so much more. That’s what we had under the Trump Administration. MAKE AMERICA GREAT AGAIN!!!",0.9443,0.252,0.031,positive,macro,406,3033,11436
